STREET_NAME,LAT,LNG
A CHUNG'S LANE,22.286801,114.155622
A KUNG NGAM ROAD,22.2787355,114.2314317
A KUNG NGAM VILLAGE ROAD,22.2820736,114.23252659999999
ABERDEEN MAIN ROAD,22.248552399999998,114.15566100000001
ABERDEEN PRAYA ROAD,22.247975,114.15311750000001
ABERDEEN RESERVOIR ROAD,22.2584518,114.1626375
ABERDEEN STREET,22.2835267,114.15251909999999
ABERDEEN TUNNEL,22.2621848,114.18012220000001
ALBANY ROAD Flyover H102B,22.278046,114.15639920000001
ALBANY ROAD,22.2778698,114.155521
ALBERT PATH,22.2791433,114.156421
ALDRICH STREET,22.277749,114.22849040000001
ALGAR COURT,22.286734399999997,114.14143519999999
ALVESTON TERRACE,,
AMOY STREET,22.275824,114.17207720000002
ANTON STREET,22.2773171,114.1690014
AP LEI CHAU BRIDGE ROAD,22.2434299,114.15563700000001
ARBUTHNOT ROAD,22.2802407,114.1545426
ARSENAL STREET,22.2783366,114.16925659999998
ARSENAL STREET Flyover H70,,
BABINGTON PATH,22.2842065,114.14261270000002
BANK STREET,22.2802736,114.1599754
BARKER ROAD,22.270643300000003,114.1582176
BASEL ROAD,22.2812919,114.23106840000001
BATTERY PATH,22.2792219,114.1596169
BEACH ROAD,22.2376085,114.19634109999998
BEAUTIFUL TERRACE,22.3180138,114.16874440000001
BELCHER GARDENS,22.2835629,114.1304982
BELCHER'S STREET,22.2835629,114.1304982
BELLEVIEW DRIVE,22.238546,114.19169099999999
BIG WAVE BAY ROAD,22.240456899999998,114.2470588
BISNEY ROAD,22.270242,114.1285
BLACK'S LINK,22.262049800000003,114.1789325
BLUE POOL ROAD,22.265867899999996,114.1887804
BLUFF PATH,22.2664692,114.15457649999999
BOAT STREET,22.288722399999997,114.1933717
BONHAM ROAD,22.284419800000002,114.1425946
BONHAM STRAND,22.2860328,114.15092949999999
BONHAM STRAND WEST,22.2860328,114.15092949999999
BORRETT ROAD,22.2742567,114.1633129
BOTANIC GARDENS FO H76,22.278046,114.15639920000001
BOWEN DRIVE,22.273956,114.1681801
BOWEN ROAD,22.273956,114.1681801
BOWRINGTON ROAD,22.2779675,114.18063300000001
BOYCE ROAD,22.2695574,114.195435
BRAEMAR HILL ROAD,22.2862375,114.20010649999999
BRAEMAR TERRACE,22.290004,114.2075268
BREEZY PATH,22.2833129,114.14600970000001
BREEZY TERRACE,22.2833129,114.14600970000001
BREWIN PATH,22.2744917,114.1559879
BRIAR AVENUE,22.2638872,114.1891785
BRIDGES STREET,22.2835468,114.14995729999998
BROADWOOD ROAD,22.2716198,114.1863328
BROOM ROAD,22.264362,114.1881875
BROWN STREET,22.2786306,114.19184140000002
BULLOCK LANE,22.2766121,114.1758365
BURD STREET,22.285220499999998,114.151422
BURROWS STREET,22.2768298,114.17650859999999
CADOGAN STREET,22.2823588,114.126074
CAINE LANE,22.2835447,114.14838130000001
CAINE ROAD,22.2815833,114.1517189
CALDER PATH,22.275798100000003,114.1585817
CANAL ROAD EAST,22.278724,114.1814088
CANAL ROAD FLYOVER H110,22.278355800000003,114.1811986
CANAL ROAD WEST,22.278567300000002,114.18106929999999
CANNON STREET,22.2812871,114.1836784
CAPE COLLINSON ROAD,22.259487699999998,114.23875559999999
CAPE D'AGUILAR ROAD,22.216666699999998,114.26666670000002
CAPE DRIVE,22.2179675,114.2054327
CAPE ROAD,22.2192216,114.2067646
CARMEL ROAD,22.2203871,114.2092653
CAROLINE HILL ROAD,22.2767407,114.18758729999999
CASTLE LANE,22.2818039,114.15088349999999
CASTLE ROAD,22.2822155,114.1496298
CASTLE STEPS,22.2815844,114.1497261
CATCHICK STREET,22.2832031,114.12755770000001
CAUSEWAY ROAD,22.280732699999998,114.18978349999999
CENTRE STREET,22.286531,114.14228200000001
CHAI WAN ROAD,22.270687,114.23361489999999
CHAN TONG LANE,22.277907199999998,114.1802632
CHANCERY LANE,22.280608800000003,114.15392709999999
CHATER ROAD,22.2814513,114.1599193
CHATHAM PATH,22.272477399999996,114.15775079999999
CHENGTU ROAD,22.2485256,114.15477649999998
CHEONG MING STREET,22.268448199999998,114.1867131
CHEUNG HING STREET,22.204777399999998,114.0273713
CHEUNG HONG STREET,22.283496,114.22207399999999
CHEUNG KAN LANE,22.286851199999997,114.1327163
CHEUNG LEE STREET,22.2652299,114.2356251
CHEUNG MAN ROAD,22.2679842,114.2368331
CHEUNG ON LANE,22.285457,114.1423625
CHEUNG TAK LANE,22.276057100000003,114.18010179999999
CHEUNG WOO LANE,22.277169600000004,114.1806966
CHI FU CLOSE,22.2566174,114.13854189999999
CHI FU ROAD,22.2579259,114.13916909999999
CHI SHING LANE,22.302038800000002,114.2953169
CHICO TERRACE,22.2806492,114.151407
CHING LIN TERRACE,22.282850500000002,114.13156550000001
CHING SAU LANE,22.2189763,114.2057635
CHING WAH STREET,22.2890214,114.198024
CHIU KWONG STREET,22.2875049,114.1394476
CHIU LUNG STREET,22.2826022,114.156697
CHUK HING LANE,22.287566100000003,114.1487842
CHUK KUI TERRACE,22.274050600000002,114.17200109999999
CHUK LIN LANE,22.2862883,114.1474385
CHUK ON LANE,22.397439000000002,114.19006399999999
CHUN FAI ROAD,22.2734853,114.1935807
CHUN FAI TERRACE,22.2753573,114.19434479999998
CHUN SHING STREET,22.2677538,113.9973767
CHUN SING STREET,22.2897155,114.2759775
CHUN YEUNG STREET,22.291257199999997,114.19781029999999
CHUNG CHING STREET,22.2874503,114.14123870000002
CHUNG HOM KOK ROAD,22.216115600000002,114.20098329999999
CHUNG ON TERRACE,22.370088,114.1169899
CHUNG WO LANE,22.3102312,114.18578659999999
CHURCH LANE,22.2772367,114.22879440000001
CHURCH STREET,22.2774942,114.22859369999999
CIRCULAR PATHWAY,22.284276600000002,114.1505422
CLARENCE TERRACE,22.285159600000004,114.13644520000001
CLAYMORE AVENUE,22.2592784,114.13691829999999
CLEMENTI ROAD,22.271235,114.19650779999999
CLEVELAND STREET,22.2821814,114.18564920000001
CLEVERLY STREET,22.286064800000002,114.15117269999999
CLOUD VIEW ROAD,22.285870000000003,114.196572
CLOVELLY PATH,22.2739854,114.15553590000002
CLUB STREET,22.281516699999997,114.16133700000002
COCHRANE STREET,22.2829948,114.15437150000001
COLLEGE VIEW,22.2855211,114.1457126
COLLINSON STREET,22.285795999999998,114.13220829999999
COMFORT TERRACE,22.2865673,114.1939993
CONDUIT ROAD,22.2812233,114.14774550000001
CONNAUGHT PLACE,22.283398000000002,114.15874840000002
CONNAUGHT ROAD CENTRAL,22.284807699999998,114.15648700000001
CONNAUGHT ROAD WEST,22.284807699999998,114.15648700000001
CONSORT RISE,22.2703204,114.127757
COOMBE ROAD,22.2681398,114.16714099999999
COOPER ROAD,22.268037,114.19121100000001
CORONATION TERRACE,22.282245,114.151726
